Age_Group,Year1,Year2,Year3,Year4,Year5
Adults,0.71875,0.65625,0.59375,0.578125,0.625
Children,0.6187050359712231,0.6474820143884892,0.6115107913669064,0.6258992805755396,0.6187050359712231
