Age_Group,Time_to_Success
1 to 2,1.2173913043478262
11 to 14,1.32
15 to 19,1.2448979591836735
20 to 24,1.2608695652173914
25 to 29,1.2
3 to 4,1.1304347826086956
30 to 34,1.125
35 to 39,1.125
5 to 7,1.2156862745098038
8 to 10,1.1944444444444444
Less than 1,1.4
Over 40,1.0
